stud_1,stud_2,lev_coef,align_coef,sol_1,sol_2
B,F,1.0,1.0,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
A,K,0.954954954954955,0.954954954954955,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
G,N,0.9304347826086956,0.9304347826086956,IOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIKKIONIOIIIKKIONIKIINOIINIOIKIINOIINKIIINOIIINIOIIIIIOIIIIIIKKIIIIIIOIIII,KIIOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIKKNIONIOIIIKKIONIKIINOIINIOIIIINOIINKIIINOIIINIOIIIIIOIIIIIIKKIIIIIIOIIIIKIOI
E,R,0.9879032258064516,0.9879032258064516,IIKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIOOIIOOIIOOOIIOOOIIINOOIIINOOIIINOOIIINOOOIIINOKIIIKIIOIIKONIIIOIIKNIIIOIIKONIIIOIIKNKKNKIIKIIONKIKIOIIIONIOIOIOIIKIKIIIONIIIIIIIONIIIKIIIKIIOIOIIKIKOIIOIIOIKIIIOIIKKIOIIIIIININININIINIINIINIINIINIOIIIIKIIIIIIKIOI,IIKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIOOIIOOIIOOOIIOOOIIINOOIIINOOIIINOOIIINOOOIIINOKIIIKIIOIIKONIIIOIIKNIIIOIIKONIIIOIIKNKKNKIIKIIONKIKIOIIIONIOIOIOIIKIKIIIONIIIIIIIONIIIKIIIKIIOIOIIKIIOIIOIIOIIIIIOIIKIIOIIIIIININININIINIINIINIINIINIOIIIIKIIIIIIKIOI
A,T,1.0,1.0,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
T,K,0.954954954954955,0.954954954954955,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
A,S,0.954954954954955,0.954954954954955,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
K,S,1.0,1.0,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
T,S,0.954954954954955,0.954954954954955,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIOIKIONKIIIONNOIINKIIIONNOIINKIIIONNOIINIIOIIONIONIIOIIIKIII
J,F,0.9705882352941176,0.9705882352941176,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIIOIIIKKIONIIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
B,J,0.9705882352941176,0.9705882352941176,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKNIIIOIIIKKIONIIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
